"time_ago"	"total_area_rainforest"	"total_area_other"
540	63339471210485.7	1100934389270428
520	45421764964219.5	938847558187460
500	80084244318575.4	965066271499760
480	102112569241188	906848726768355
460	96481651603521.6	947227523765731
440	95342108482399.3	1017155177784053
420	173269705506414	768245273489645
400	100963950349480	911766561866389
380	116597717842527	836200001337888
360	82977852125830.8	1033135182155019
340	134200041830986	1178617744723189
320	142009902170707	1334207602828949
300	89837011117671.6	1233400812849128
280	81352764767321.9	1396006511508473
260	117082126307181	1508466434712720
240	247205071544600	1992957177991222
220	203280425877717	1809933910455203
200	136928615881497	2124391364565198
180	138919608723055	2022379968152944
160	167291328804487	1665964333084171
140	159656511364006	1895183251276287
120	178235909016490	1586419507245850
100	148978671705790	1551068313406897
80	121970331891762	1289298371152198
60	209574895231122	1636007759206738
40	183230120485910	1864195749431179
20	136548428834798	1804052362002914
0	192937636586817	1627912937050989
